time_s,tx_power_dbm,beacon_interval_s
52.0,19.0,0.3
52.5,16.0,0.2
53.0,16.0,0.3
53.5,19.0,0.3
54.0,10.0,0.1
54.5,10.0,0.3
55.0,10.0,0.1
55.5,19.0,0.1
56.0,16.0,0.2
56.5,23.0,0.1
57.0,19.0,0.2
57.5,10.0,0.1
58.0,23.0,0.2
58.5,23.0,0.2
59.0,13.0,0.5
59.5,10.0,0.5
60.0,10.0,0.3
60.5,19.0,0.1
61.0,10.0,0.1
61.5,10.0,0.2
62.0,13.0,0.1
62.5,10.0,0.1
63.0,13.0,0.1
63.5,10.0,0.3
64.0,23.0,0.1
64.5,23.0,0.1
65.0,10.0,0.1
65.5,19.0,0.1
66.0,10.0,0.1
66.5,19.0,0.3
67.0,23.0,0.5
67.5,19.0,0.2
68.0,13.0,0.1
68.5,13.0,0.3
69.0,23.0,0.1
69.5,16.0,0.1
70.0,10.0,0.1
70.5,16.0,0.1
71.0,16.0,0.1
71.5,23.0,0.1
72.0,23.0,0.1
72.5,16.0,0.5
73.0,13.0,0.1
73.5,19.0,0.1
74.0,23.0,0.1
74.5,13.0,0.3
75.0,10.0,0.1
75.5,23.0,0.3
76.0,13.0,0.1
76.5,23.0,0.3
77.0,23.0,0.1
77.5,23.0,0.2
78.0,19.0,0.2
78.5,13.0,0.3
79.0,13.0,0.1
79.5,23.0,0.2
80.0,13.0,0.1
80.5,16.0,0.1
81.0,19.0,0.1
81.5,16.0,0.2
82.0,23.0,0.2
82.5,16.0,0.3
83.0,19.0,0.2
83.5,10.0,0.1
84.0,19.0,0.2
84.5,23.0,0.3
85.0,16.0,0.3
85.5,19.0,0.2
86.0,13.0,0.1
86.5,10.0,0.5
87.0,16.0,0.2
87.5,19.0,0.2
88.0,13.0,0.1
88.5,10.0,0.5
89.0,13.0,0.3
89.5,13.0,0.1
90.0,16.0,0.1
90.5,19.0,0.1
91.0,10.0,0.5
91.5,16.0,0.2
92.0,19.0,0.2
92.5,10.0,0.1
93.0,23.0,0.3
93.5,19.0,0.2
94.0,16.0,0.1
94.5,13.0,0.1
95.0,16.0,0.1
95.5,13.0,0.5
96.0,19.0,0.5
96.5,10.0,0.3
97.0,19.0,0.3
97.5,10.0,0.2
98.0,23.0,0.3
98.5,23.0,0.1
99.0,10.0,0.3
99.5,19.0,0.5
100.0,23.0,0.3
100.5,16.0,0.5
101.0,19.0,0.1
101.5,19.0,0.2
102.0,10.0,0.1
102.5,13.0,0.1
103.0,10.0,0.1
103.5,10.0,0.2
104.0,16.0,0.5
104.5,19.0,0.3
105.0,23.0,0.3
105.5,16.0,0.1
106.0,23.0,0.1
106.5,16.0,0.1
107.0,10.0,0.1
107.5,10.0,0.1
108.0,23.0,0.3
108.5,16.0,0.5
109.0,13.0,0.2
109.5,10.0,0.3
110.0,13.0,0.5
110.5,23.0,0.5
111.0,10.0,0.5
111.5,13.0,0.5
112.0,13.0,0.1
112.5,19.0,0.2
113.0,13.0,0.3
113.5,16.0,0.1
114.0,10.0,0.1
114.5,16.0,0.3
115.0,16.0,0.5
115.5,13.0,0.5
116.0,19.0,0.2
116.5,10.0,0.5
117.0,10.0,0.3
117.5,19.0,0.1
118.0,19.0,0.1
118.5,10.0,0.5
119.0,16.0,0.2
119.5,13.0,0.2
120.0,16.0,0.2
120.5,23.0,0.1
121.0,10.0,0.2
121.5,13.0,0.1
122.0,19.0,0.2
122.5,13.0,0.5
123.0,23.0,0.1
123.5,19.0,0.1
124.0,16.0,0.1
124.5,13.0,0.2
125.0,19.0,0.5
125.5,13.0,0.1
126.0,23.0,0.3
126.5,13.0,0.2
127.0,10.0,0.1
127.5,19.0,0.3
128.0,13.0,0.2
128.5,10.0,0.2
129.0,23.0,0.1
129.5,13.0,0.1
130.0,23.0,0.5
130.5,23.0,0.2
131.0,23.0,0.3
131.5,19.0,0.1
132.0,13.0,0.3
132.5,16.0,0.1
133.0,23.0,0.2
133.5,13.0,0.1
134.0,19.0,0.1
134.5,10.0,0.2
135.0,19.0,0.2
135.5,23.0,0.2
136.0,10.0,0.2
136.5,23.0,0.5
137.0,10.0,0.3
137.5,23.0,0.1
138.0,16.0,0.2
138.5,16.0,0.5
139.0,10.0,0.5
139.5,16.0,0.3
140.0,13.0,0.1
140.5,13.0,0.5
141.0,10.0,0.3
141.5,23.0,0.5
142.0,10.0,0.3
142.5,16.0,0.1
143.0,16.0,0.5
143.5,13.0,0.5
144.0,10.0,0.1
144.5,13.0,0.1
145.0,13.0,0.5
145.5,13.0,0.5
146.0,16.0,0.5
146.5,19.0,0.1
147.0,23.0,0.5
147.5,19.0,0.1
148.0,23.0,0.1
148.5,10.0,0.2
149.0,19.0,0.5
149.5,23.0,0.2
150.0,19.0,0.2
150.5,19.0,0.1
151.0,10.0,0.5
151.5,23.0,0.1
152.0,16.0,0.2
152.5,10.0,0.3
153.0,23.0,0.1
153.5,10.0,0.3
154.0,13.0,0.2
154.5,19.0,0.2
155.0,13.0,0.1
155.5,23.0,0.2
156.0,10.0,0.5
156.5,13.0,0.3
157.0,19.0,0.1
157.5,10.0,0.5
158.0,13.0,0.5
158.5,13.0,0.1
159.0,19.0,0.3
159.5,23.0,0.2
160.0,10.0,0.1
160.5,23.0,0.2
161.0,19.0,0.1
161.5,13.0,0.5
162.0,16.0,0.3
162.5,10.0,0.1
163.0,13.0,0.1
163.5,16.0,0.5
164.0,19.0,0.3
164.5,13.0,0.5
165.0,19.0,0.1
165.5,23.0,0.3
166.0,10.0,0.1
166.5,16.0,0.5
167.0,10.0,0.5
167.5,13.0,0.3
168.0,13.0,0.1
168.5,16.0,0.3
169.0,13.0,0.2
169.5,13.0,0.1
170.0,10.0,0.1
170.5,19.0,0.1
171.0,19.0,0.1
171.5,23.0,0.1
172.0,13.0,0.2
172.5,19.0,0.2
173.0,10.0,0.1
173.5,13.0,0.2
174.0,16.0,0.3
174.5,23.0,0.1
175.0,23.0,0.1
175.5,13.0,0.2
176.0,23.0,0.1
176.5,10.0,0.2
177.0,13.0,0.1
177.5,10.0,0.1
178.0,16.0,0.5
178.5,13.0,0.1
179.0,13.0,0.3
179.5,23.0,0.5
180.0,23.0,0.2
180.5,13.0,0.1
181.0,13.0,0.3
181.5,19.0,0.3
182.0,19.0,0.2
182.5,10.0,0.3
183.0,16.0,0.3
183.5,23.0,0.1
184.0,23.0,0.2
184.5,19.0,0.1
185.0,10.0,0.3
185.5,10.0,0.5
186.0,23.0,0.1
186.5,10.0,0.5
187.0,13.0,0.5
187.5,13.0,0.1
188.0,16.0,0.5
188.5,10.0,0.5
189.0,23.0,0.1
189.5,19.0,0.5
190.0,13.0,0.5
190.5,16.0,0.3
191.0,10.0,0.1
191.5,16.0,0.1
192.0,23.0,0.3
192.5,13.0,0.1
193.0,16.0,0.1
193.5,23.0,0.1
194.0,16.0,0.5
194.5,10.0,0.1
195.0,13.0,0.5
195.5,19.0,0.2
196.0,10.0,0.2
196.5,16.0,0.5
197.0,16.0,0.5
197.5,23.0,0.2
198.0,19.0,0.5
198.5,23.0,0.1
199.0,10.0,0.2
199.5,16.0,0.3
200.0,19.0,0.3
200.5,16.0,0.2
201.0,16.0,0.1
201.5,13.0,0.1
202.0,10.0,0.5
202.5,10.0,0.5
203.0,23.0,0.2
203.5,19.0,0.5
204.0,10.0,0.5
204.5,23.0,0.2
205.0,19.0,0.2
205.5,16.0,0.2
206.0,13.0,0.1
206.5,23.0,0.1
207.0,19.0,0.3
207.5,13.0,0.3
208.0,13.0,0.5
208.5,13.0,0.2
209.0,13.0,0.5
209.5,23.0,0.1
210.0,16.0,0.5
210.5,23.0,0.5
211.0,13.0,0.1
211.5,16.0,0.1
212.0,23.0,0.1
212.5,16.0,0.1
213.0,10.0,0.2
213.5,13.0,0.2
214.0,23.0,0.5
214.5,10.0,0.1
215.0,13.0,0.5
215.5,13.0,0.5
216.0,13.0,0.5
216.5,23.0,0.3
217.0,19.0,0.1
217.5,16.0,0.3
218.0,10.0,0.1
218.5,23.0,0.3
219.0,10.0,0.5
219.5,10.0,0.5
220.0,16.0,0.1
220.5,19.0,0.5
221.0,23.0,0.1
221.5,16.0,0.1
222.0,16.0,0.3
222.5,23.0,0.1
223.0,13.0,0.3
223.5,13.0,0.1
224.0,23.0,0.3
224.5,16.0,0.1
225.0,19.0,0.5
225.5,13.0,0.3
226.0,16.0,0.1
226.5,19.0,0.1
227.0,19.0,0.3
227.5,10.0,0.2
228.0,23.0,0.5
228.5,19.0,0.3
229.0,13.0,0.5
229.5,23.0,0.2
230.0,13.0,0.5
230.5,13.0,0.2
231.0,13.0,0.5
231.5,13.0,0.5
232.0,10.0,0.1
232.5,13.0,0.5
233.0,19.0,0.1
233.5,23.0,0.3
234.0,19.0,0.2
234.5,10.0,0.2
235.0,16.0,0.3
235.5,23.0,0.1
236.0,23.0,0.1
236.5,10.0,0.1
237.0,10.0,0.5
237.5,10.0,0.3
238.0,23.0,0.2
238.5,23.0,0.3
239.0,19.0,0.1
239.5,10.0,0.1
240.0,10.0,0.1
240.5,16.0,0.5
241.0,10.0,0.2
241.5,16.0,0.3
242.0,10.0,0.3
242.5,23.0,0.1
243.0,19.0,0.3
243.5,19.0,0.5
244.0,19.0,0.5
244.5,23.0,0.5
245.0,19.0,0.2
245.5,19.0,0.3
246.0,13.0,0.2
246.5,13.0,0.5
247.0,13.0,0.1
247.5,23.0,0.2
248.0,19.0,0.1
248.5,10.0,0.2
249.0,19.0,0.1
249.5,19.0,0.5
250.0,23.0,0.3
250.5,10.0,0.1
251.0,10.0,0.5
251.5,10.0,0.1
252.0,19.0,0.3
252.5,13.0,0.5
253.0,16.0,0.1
253.5,16.0,0.3
254.0,19.0,0.5
254.5,10.0,0.1
255.0,23.0,0.3
255.5,16.0,0.1
256.0,19.0,0.3
256.5,16.0,0.1
257.0,23.0,0.1
257.5,13.0,0.5
258.0,19.0,0.5
258.5,16.0,0.3
259.0,23.0,0.3
259.5,19.0,0.3
260.0,16.0,0.1
260.5,10.0,0.2
261.0,10.0,0.1
261.5,13.0,0.1
262.0,23.0,0.3
262.5,13.0,0.2
263.0,23.0,0.1
263.5,13.0,0.2
264.0,10.0,0.1
264.5,10.0,0.1
265.0,13.0,0.3
265.5,23.0,0.1
266.0,19.0,0.1
266.5,16.0,0.5
267.0,10.0,0.2
267.5,13.0,0.1
268.0,10.0,0.1
268.5,23.0,0.1
269.0,13.0,0.1
269.5,10.0,0.3
270.0,13.0,0.1
270.5,10.0,0.1
271.0,19.0,0.1
271.5,10.0,0.3
272.0,19.0,0.3
272.5,10.0,0.3
273.0,23.0,0.1
273.5,10.0,0.1
274.0,19.0,0.1
274.5,19.0,0.1
275.0,13.0,0.5
275.5,19.0,0.3
276.0,13.0,0.5
276.5,13.0,0.3
277.0,13.0,0.1
277.5,23.0,0.3
278.0,23.0,0.5
278.5,19.0,0.3
279.0,10.0,0.2
279.5,23.0,0.1
280.0,13.0,0.5
280.5,19.0,0.2
281.0,23.0,0.5
281.5,16.0,0.1
282.0,23.0,0.1
282.5,10.0,0.2
283.0,13.0,0.2
283.5,10.0,0.3
284.0,19.0,0.1
284.5,13.0,0.5
285.0,19.0,0.1
285.5,10.0,0.2
286.0,16.0,0.1
286.5,19.0,0.5
287.0,23.0,0.1
287.5,10.0,0.5
288.0,10.0,0.2
288.5,16.0,0.1
289.0,10.0,0.1
289.5,13.0,0.2
290.0,10.0,0.2
290.5,13.0,0.2
291.0,19.0,0.2
291.5,10.0,0.3
292.0,13.0,0.1
292.5,19.0,0.1
293.0,19.0,0.5
293.5,19.0,0.5
294.0,23.0,0.3
294.5,13.0,0.3
295.0,10.0,0.5
295.5,13.0,0.1
296.0,23.0,0.3
296.5,19.0,0.1
297.0,10.0,0.1
297.5,10.0,0.5
298.0,13.0,0.5
298.5,19.0,0.2
299.0,13.0,0.5
299.5,13.0,0.5
300.0,19.0,0.2
300.5,19.0,0.1
301.0,23.0,0.3
301.5,19.0,0.3
302.0,16.0,0.3
302.5,13.0,0.3
303.0,23.0,0.3
303.5,13.0,0.1
304.0,10.0,0.5
304.5,13.0,0.1
305.0,16.0,0.1
305.5,13.0,0.1
306.0,16.0,0.3
306.5,19.0,0.1
307.0,19.0,0.5
307.5,19.0,0.2
308.0,13.0,0.2
308.5,16.0,0.1
309.0,19.0,0.1
309.5,13.0,0.3
310.0,10.0,0.1
310.5,16.0,0.2
311.0,13.0,0.1
311.5,19.0,0.5
312.0,16.0,0.1
312.5,16.0,0.5
313.0,16.0,0.5
313.5,10.0,0.5
314.0,13.0,0.2
314.5,10.0,0.1
315.0,13.0,0.1
315.5,13.0,0.1
316.0,10.0,0.5
316.5,23.0,0.5
317.0,13.0,0.5
317.5,16.0,0.1
318.0,16.0,0.1
318.5,19.0,0.5
319.0,16.0,0.5
319.5,16.0,0.5
320.0,23.0,0.5
320.5,10.0,0.2
321.0,23.0,0.3
321.5,16.0,0.2
322.0,10.0,0.2
322.5,16.0,0.5
323.0,13.0,0.5
323.5,16.0,0.1
324.0,16.0,0.2
324.5,23.0,0.3
325.0,10.0,0.2
325.5,13.0,0.1
326.0,13.0,0.1
326.5,23.0,0.1
327.0,10.0,0.5
327.5,16.0,0.2
328.0,13.0,0.1
328.5,16.0,0.1
329.0,23.0,0.1
329.5,19.0,0.2
330.0,23.0,0.1
330.5,16.0,0.3
331.0,13.0,0.2
331.5,10.0,0.3
332.0,23.0,0.1
332.5,16.0,0.3
333.0,13.0,0.2
333.5,10.0,0.1
334.0,16.0,0.1
334.5,23.0,0.3
335.0,16.0,0.1
335.5,13.0,0.2
336.0,10.0,0.1
336.5,23.0,0.2
337.0,13.0,0.5
337.5,16.0,0.1
338.0,13.0,0.2
338.5,19.0,0.1
339.0,10.0,0.1
339.5,16.0,0.2
340.0,13.0,0.5
340.5,13.0,0.2
341.0,13.0,0.1
341.5,23.0,0.1
342.0,16.0,0.3
342.5,19.0,0.1
343.0,23.0,0.1
343.5,16.0,0.3
344.0,19.0,0.1
344.5,23.0,0.5
345.0,13.0,0.3
345.5,16.0,0.1
346.0,16.0,0.2
346.5,16.0,0.1
347.0,10.0,0.5
347.5,10.0,0.3
348.0,19.0,0.1
348.5,13.0,0.2
349.0,19.0,0.3
349.5,23.0,0.1
350.0,13.0,0.3
350.5,10.0,0.3
351.0,23.0,0.1
351.5,16.0,0.1
352.0,16.0,0.1
352.5,19.0,0.3
353.0,19.0,0.5
353.5,16.0,0.2
354.0,16.0,0.5
354.5,13.0,0.2
355.0,13.0,0.1
355.5,10.0,0.5
356.0,23.0,0.5
356.5,23.0,0.5
357.0,10.0,0.5
357.5,10.0,0.1
358.0,23.0,0.1
358.5,16.0,0.1
359.0,23.0,0.2
359.5,10.0,0.1
360.0,16.0,0.1
360.5,13.0,0.2
361.0,13.0,0.3
361.5,19.0,0.5
362.0,16.0,0.1
362.5,23.0,0.2
363.0,23.0,0.2
363.5,10.0,0.2
364.0,23.0,0.5
364.5,13.0,0.1
365.0,10.0,0.1
365.5,19.0,0.1
366.0,16.0,0.1
366.5,13.0,0.3
367.0,19.0,0.3
367.5,23.0,0.1
368.0,10.0,0.1
368.5,10.0,0.2
369.0,16.0,0.5
369.5,10.0,0.3
370.0,19.0,0.1
370.5,19.0,0.1
371.0,19.0,0.1
371.5,19.0,0.3
372.0,23.0,0.1
372.5,23.0,0.5
373.0,13.0,0.2
373.5,10.0,0.2
374.0,10.0,0.3
374.5,10.0,0.5
375.0,19.0,0.2
375.5,10.0,0.5
376.0,13.0,0.2
376.5,23.0,0.3
377.0,19.0,0.2
377.5,16.0,0.1
378.0,19.0,0.2
378.5,16.0,0.2
379.0,19.0,0.5
379.5,13.0,0.2
380.0,19.0,0.1
380.5,10.0,0.5
381.0,13.0,0.3
381.5,10.0,0.1
382.0,13.0,0.5
382.5,19.0,0.3
383.0,19.0,0.3
383.5,10.0,0.1
384.0,19.0,0.5
384.5,19.0,0.1
385.0,23.0,0.2
385.5,16.0,0.1
386.0,10.0,0.3
386.5,10.0,0.5
387.0,23.0,0.1
387.5,13.0,0.1
388.0,10.0,0.1
388.5,10.0,0.1
389.0,19.0,0.1
389.5,23.0,0.5
390.0,13.0,0.2
390.5,16.0,0.2
391.0,23.0,0.1
391.5,19.0,0.2
392.0,19.0,0.1
392.5,16.0,0.3
393.0,19.0,0.3
393.5,10.0,0.1
394.0,10.0,0.3
394.5,19.0,0.2
395.0,13.0,0.5
395.5,23.0,0.1
396.0,23.0,0.5
396.5,13.0,0.1
397.0,13.0,0.3
397.5,13.0,0.3
398.0,10.0,0.1
398.5,23.0,0.2
399.0,13.0,0.2
399.5,19.0,0.2
400.0,19.0,0.1
400.5,10.0,0.1
401.0,13.0,0.5
401.5,10.0,0.1
402.0,10.0,0.1
402.5,13.0,0.2
403.0,16.0,0.3
403.5,23.0,0.3
404.0,23.0,0.3
404.5,23.0,0.1
405.0,10.0,0.5
405.5,10.0,0.2
406.0,23.0,0.2
406.5,16.0,0.2
407.0,19.0,0.1
407.5,13.0,0.1
408.0,13.0,0.1
408.5,13.0,0.1
409.0,23.0,0.3
409.5,16.0,0.3
410.0,13.0,0.5
410.5,10.0,0.5
411.0,13.0,0.2
411.5,19.0,0.2
412.0,19.0,0.2
412.5,10.0,0.2
413.0,19.0,0.1
413.5,10.0,0.1
414.0,10.0,0.2
414.5,13.0,0.5
415.0,23.0,0.3
415.5,10.0,0.5
416.0,10.0,0.1
416.5,23.0,0.5
417.0,10.0,0.2
417.5,19.0,0.2
418.0,23.0,0.5
418.5,16.0,0.1
419.0,10.0,0.1
419.5,19.0,0.1
420.0,19.0,0.1
420.5,10.0,0.3
421.0,16.0,0.1
421.5,13.0,0.2
422.0,19.0,0.2
422.5,16.0,0.1
423.0,10.0,0.5
423.5,23.0,0.1
424.0,16.0,0.3
424.5,16.0,0.5
425.0,19.0,0.1
425.5,13.0,0.5
426.0,23.0,0.1
426.5,13.0,0.5
427.0,19.0,0.2
427.5,23.0,0.1
428.0,16.0,0.3
428.5,16.0,0.3
429.0,23.0,0.3
429.5,23.0,0.5
430.0,13.0,0.5
430.5,10.0,0.3
431.0,16.0,0.1
431.5,23.0,0.1
432.0,16.0,0.2
432.5,10.0,0.1
433.0,23.0,0.2
433.5,13.0,0.5
434.0,19.0,0.3
434.5,16.0,0.1
435.0,10.0,0.2
435.5,10.0,0.5
436.0,19.0,0.2
436.5,23.0,0.2
437.0,13.0,0.3
437.5,16.0,0.5
438.0,19.0,0.2
438.5,10.0,0.1
439.0,13.0,0.1
439.5,19.0,0.1
440.0,10.0,0.2
440.5,13.0,0.1
441.0,19.0,0.3
441.5,16.0,0.1
442.0,10.0,0.5
442.5,19.0,0.2
443.0,13.0,0.2
443.5,23.0,0.1
444.0,16.0,0.1
444.5,16.0,0.5
445.0,23.0,0.1
445.5,19.0,0.3
446.0,19.0,0.1
446.5,23.0,0.3
447.0,10.0,0.1
447.5,13.0,0.3
448.0,13.0,0.5
448.5,13.0,0.1
449.0,13.0,0.2
449.5,19.0,0.5
450.0,10.0,0.2
450.5,19.0,0.3
451.0,23.0,0.1
451.5,13.0,0.2
452.0,23.0,0.2
452.5,23.0,0.1
453.0,23.0,0.1
453.5,23.0,0.2
454.0,16.0,0.1
454.5,23.0,0.5
455.0,16.0,0.2
455.5,19.0,0.2
456.0,23.0,0.1
456.5,23.0,0.1
457.0,10.0,0.5
457.5,23.0,0.5
458.0,16.0,0.1
458.5,16.0,0.1
459.0,16.0,0.5
459.5,23.0,0.3
460.0,23.0,0.2
460.5,16.0,0.1
461.0,16.0,0.2
461.5,13.0,0.5
462.0,13.0,0.1
462.5,16.0,0.3
463.0,16.0,0.3
463.5,10.0,0.5
464.0,19.0,0.1
464.5,23.0,0.1
465.0,16.0,0.3
465.5,10.0,0.1
466.0,10.0,0.2
466.5,13.0,0.1
467.0,13.0,0.3
467.5,10.0,0.1
468.0,13.0,0.2
468.5,23.0,0.3
469.0,23.0,0.3
469.5,19.0,0.1
470.0,13.0,0.1
470.5,23.0,0.1
471.0,10.0,0.3
471.5,23.0,0.1
472.0,23.0,0.2
472.5,19.0,0.3
473.0,10.0,0.1
473.5,19.0,0.1
474.0,13.0,0.1
474.5,19.0,0.1
475.0,13.0,0.3
475.5,23.0,0.5
476.0,13.0,0.1
476.5,10.0,0.3
477.0,19.0,0.1
477.5,13.0,0.3
478.0,13.0,0.5
478.5,16.0,0.2
479.0,13.0,0.5
479.5,16.0,0.1
480.0,19.0,0.1
480.5,23.0,0.3
481.0,13.0,0.3
481.5,13.0,0.1
482.0,13.0,0.2
482.5,10.0,0.5
483.0,19.0,0.1
483.5,13.0,0.5
484.0,19.0,0.1
484.5,10.0,0.1
485.0,10.0,0.2
485.5,16.0,0.3
486.0,19.0,0.1
486.5,10.0,0.5
487.0,10.0,0.2
487.5,19.0,0.5
488.0,19.0,0.1
488.5,13.0,0.1
489.0,19.0,0.1
489.5,13.0,0.2
490.0,19.0,0.2
490.5,23.0,0.5
491.0,23.0,0.5
491.5,23.0,0.1
492.0,13.0,0.2
492.5,19.0,0.2
493.0,10.0,0.1
493.5,10.0,0.3
494.0,16.0,0.1
494.5,16.0,0.1
495.0,10.0,0.1
495.5,19.0,0.5
496.0,23.0,0.3
496.5,16.0,0.1
497.0,19.0,0.5
497.5,10.0,0.2
498.0,19.0,0.3
498.5,13.0,0.3
499.0,19.0,0.3
499.5,23.0,0.3
500.0,19.0,0.2
500.5,10.0,0.3
501.0,23.0,0.3
501.5,10.0,0.2
502.0,13.0,0.1
502.5,19.0,0.1
503.0,13.0,0.5
503.5,23.0,0.3
504.0,10.0,0.3
504.5,19.0,0.5
505.0,16.0,0.5
505.5,23.0,0.3
506.0,10.0,0.5
506.5,16.0,0.3
507.0,10.0,0.2
507.5,19.0,0.3
508.0,16.0,0.1
508.5,16.0,0.3
509.0,19.0,0.1
509.5,19.0,0.1
510.0,13.0,0.1
510.5,10.0,0.1
511.0,23.0,0.1
511.5,13.0,0.3
512.0,16.0,0.2
512.5,13.0,0.1
513.0,23.0,0.2
513.5,10.0,0.5
514.0,23.0,0.3
514.5,16.0,0.3
515.0,13.0,0.5
515.5,19.0,0.5
516.0,19.0,0.2
516.5,10.0,0.2
517.0,19.0,0.1
517.5,23.0,0.1
518.0,13.0,0.2
518.5,13.0,0.2
519.0,19.0,0.5
519.5,23.0,0.5
520.0,23.0,0.1
520.5,10.0,0.1
521.0,23.0,0.3
521.5,16.0,0.3
522.0,23.0,0.1
522.5,10.0,0.1
523.0,19.0,0.1
523.5,13.0,0.5
524.0,10.0,0.2
524.5,23.0,0.1
525.0,13.0,0.3
525.5,19.0,0.1
526.0,23.0,0.3
526.5,23.0,0.1
527.0,10.0,0.2
527.5,16.0,0.1
528.0,13.0,0.1
528.5,10.0,0.1
529.0,13.0,0.1
529.5,10.0,0.2
530.0,13.0,0.3
530.5,16.0,0.1
531.0,19.0,0.3
531.5,23.0,0.1
532.0,13.0,0.3
532.5,23.0,0.5
533.0,10.0,0.5
533.5,19.0,0.2
534.0,23.0,0.3
534.5,10.0,0.1
535.0,19.0,0.1
535.5,10.0,0.1
536.0,23.0,0.5
536.5,19.0,0.2
537.0,23.0,0.1
537.5,16.0,0.2
538.0,16.0,0.1
538.5,23.0,0.1
539.0,16.0,0.3
539.5,16.0,0.5
540.0,10.0,0.3
540.5,13.0,0.2
541.0,10.0,0.3
541.5,10.0,0.1
542.0,10.0,0.3
542.5,19.0,0.5
543.0,13.0,0.5
543.5,23.0,0.3
544.0,13.0,0.2
544.5,19.0,0.2
545.0,10.0,0.1
545.5,10.0,0.5
546.0,19.0,0.5
546.5,19.0,0.1
547.0,16.0,0.1
547.5,23.0,0.2
548.0,23.0,0.1
548.5,16.0,0.1
549.0,10.0,0.2
549.5,10.0,0.1
550.0,23.0,0.2
550.5,13.0,0.2
551.0,13.0,0.5
551.5,19.0,0.1
552.0,16.0,0.1
552.5,10.0,0.1
553.0,19.0,0.1
553.5,13.0,0.3
554.0,19.0,0.5
554.5,23.0,0.1
555.0,19.0,0.1
555.5,10.0,0.5
556.0,19.0,0.5
556.5,16.0,0.1
557.0,19.0,0.1
557.5,19.0,0.2
558.0,19.0,0.2
558.5,13.0,0.1
559.0,13.0,0.1
559.5,23.0,0.2
560.0,23.0,0.5
560.5,10.0,0.1
561.0,13.0,0.3
561.5,16.0,0.1
562.0,19.0,0.5
562.5,10.0,0.2
563.0,10.0,0.1
563.5,23.0,0.3
564.0,13.0,0.5
564.5,16.0,0.3
565.0,13.0,0.1
565.5,13.0,0.3
566.0,13.0,0.1
566.5,10.0,0.3
567.0,10.0,0.1
567.5,10.0,0.2
568.0,10.0,0.1
568.5,13.0,0.1
569.0,23.0,0.3
569.5,23.0,0.5
570.0,19.0,0.5
570.5,13.0,0.2
571.0,16.0,0.5
571.5,23.0,0.1
572.0,23.0,0.5
572.5,23.0,0.2
573.0,13.0,0.2
573.5,16.0,0.3
574.0,23.0,0.2
574.5,10.0,0.1
575.0,13.0,0.2
575.5,13.0,0.5
576.0,16.0,0.1
576.5,19.0,0.5
577.0,10.0,0.2
577.5,13.0,0.2
578.0,13.0,0.3
578.5,19.0,0.3
579.0,19.0,0.2
579.5,19.0,0.1
580.0,13.0,0.2
580.5,10.0,0.2
581.0,19.0,0.1
